End_Lat,End_Lng
38.30396,-85.88482
39.95664,-83.37415
39.93654,-83.40048
39.17128,-84.40266
40.01676,-83.03354
39.94576,-85.63454
39.97518,-85.63374
40.2777,-85.67459
40.27744,-85.72518
39.173643,-84.478397
41.68395,-83.56978
41.66502,-85.02544
41.68976,-83.666
39.94448,-82.94219
41.48338,-81.66281
41.735607,-84.982292
39.96847,-83.04476
41.96429,-83.35018
41.283091,-83.638885
41.63663,-83.49134
41.471378,-85.839527
41.427584,-85.8495
41.47442,-81.71182
39.18583,-84.48269
41.94497,-80.40208
39.54323,-84.29281
41.438773,-81.803398
39.92986,-82.85977
40.44374,-80.02855
39.976594,-83.129738
39.97672,-83.12431
39.97482,-83.12103
39.97075,-83.11951
